"id","estacion","idpm","direccion"
"138","Francia","3907","357.016625761863"
"139","Francia","3908","352.350381749759"
"140","Francia","3920","341.566002348819"
"141","Francia","3927","337.76817450006"
"142","Francia","3129","222.213420279047"
"143","Francia","3111","217.969037303956"
"144","Francia","3909","329.231291701921"
"145","Francia","4506","105.038141203155"
"146","Francia","3310","225.122460063509"
"147","Francia","1620","297.279898278427"
"148","Francia","3311","226.302009309814"
"149","Francia","3925","327.89928670475"
"150","Francia","3128","191.327998892407"
"151","Francia","4504","109.278764918114"
"152","Francia","1613","291.866014121655"
"153","Francia","3935","20.833622771976"
"154","Francia","4510","104.254217614587"
"155","Francia","1607","264.895041973259"
"156","Francia","4505","105.911058249802"
"157","Francia","3309","224.591408384697"
"158","Francia","1621","301.317724172603"
"159","Francia","4503","131.940729842241"
"160","Francia","3408","45.8852491839593"
"161","Francia","3409","45.6741085119327"
"162","Francia","3919","357.928204656656"
"163","Francia","3902","359.208962142924"
"164","Francia","3114","201.60382754504"
"165","Francia","4502","138.976901214398"
"166","Francia","1608","272.673752166666"
"167","Francia","1609","275.002740192385"
"168","Francia","3918","343.451651651291"
"169","Francia","3117","214.951270745958"
"170","Francia","1612","303.614371602343"
"171","Francia","3130","203.148355819198"
"172","Francia","1610","281.647016269107"
"173","Francia","3308","225.792974489264"
"174","Francia","3116","211.984146639972"
"175","Francia","3930","332.556942523449"
"176","Francia","3411","21.9359886978785"
"177","Francia","3901","342.216972670194"
"178","Francia","4501","153.887396696713"
"179","Francia","3313","222.90182044015"
"180","Viveros","1311","321.528226303258"
"181","Viveros","1416","104.199387900536"
"182","Viveros","1308","286.080131709104"
"183","Viveros","228","62.6865835478046"
"184","Viveros","1402","165.536011706094"
"185","Viveros","1434","151.001994778115"
"186","Viveros","1442","181.361977759224"
"187","Viveros","227","105.386736552541"
"188","Viveros","1304","276.022913483646"
"189","Viveros","223","17.5096449573695"
"190","Viveros","1334","278.48329627944"
"191","Viveros","1116","310.457350536437"
"192","Viveros","214","22.6945907978188"
"193","Viveros","222","95.586814291339"
"194","Viveros","1115","312.985100777853"
"195","Viveros","1114","325.97585417254"
"196","Viveros","1112","336.616495354456"
"197","Viveros","1160","310.101582940162"
"198","Viveros","1403","195.553585162434"
"199","Viveros","1117","309.79421316822"
"200","Viveros","1161","351.270530996267"
"201","Viveros","1118","295.23977918854"
"202","Viveros","1126","318.175236456053"
